Epoch_ms,FSR-1,FSR-2,FSR-3,FSR-4,FSR-5,FSR-6
1769641183711,361,163,185,0,0,13
1769641183713,361,164,186,1,0,16
1769641183714,361,163,185,0,0,14
1769641183715,361,163,185,1,0,14
1769641183717,359,163,186,0,0,13
1769641183718,359,160,185,0,0,14
1769641183720,360,160,186,0,0,16
1769641183721,360,158,187,0,0,17
1769641183723,359,157,187,1,0,13
1769641183724,359,158,187,1,0,16
1769641183725,357,159,187,1,0,13
1769641183727,357,157,185,1,0,13
1769641183728,357,155,186,0,0,16
1769641183730,356,156,187,0,0,13
1769641183731,355,155,185,0,0,16
1769641183733,355,153,184,0,0,14
1769641183734,353,154,184,0,0,13
1769641183735,351,152,184,0,0,17
1769641183737,347,153,182,0,0,13
1769641183738,349,153,183,0,0,13
1769641183740,349,151,182,0,0,16
1769641183741,345,151,181,0,0,16
1769641183743,347,149,181,0,0,16
1769641183744,345,150,179,0,0,17
1769641183745,345,149,179,0,0,14
1769641183747,343,149,179,0,0,13
1769641183748,345,148,173,0,0,16
1769641183750,343,147,175,0,0,13
1769641183751,341,147,172,0,0,13
1769641183753,340,141,173,0,0,13
1769641183754,339,146,170,0,0,16
1769641183756,333,143,170,0,0,13
1769641183757,331,143,169,0,0,13
1769641183758,330,141,165,0,0,12
1769641183760,327,139,165,0,0,12
1769641183761,325,139,165,0,0,13
1769641183763,326,137,159,0,0,12
1769641183764,319,137,157,0,0,13
1769641183766,317,135,154,0,0,13
1769641183767,315,135,153,0,0,13
1769641183768,312,135,152,0,0,13
1769641183770,310,133,150,0,0,13
1769641183771,309,131,149,0,0,13
1769641183773,303,127,147,0,0,11
1769641183774,301,127,143,0,0,11
1769641183776,297,126,141,0,0,11
1769641183777,297,125,139,0,0,11
1769641183778,293,122,137,0,0,12
1769641183780,293,120,135,0,0,11
1769641183781,291,119,133,0,0,11
1769641183783,285,120,125,0,0,11
1769641183784,283,118,125,0,0,12
1769641183786,279,115,123,0,0,11
1769641183787,279,114,121,0,0,10
1769641183788,275,111,121,0,0,10
1769641183790,274,109,117,0,0,12
1769641183791,269,108,111,0,0,11
1769641183793,264,106,108,0,0,11
1769641183794,261,102,107,0,0,9
1769641183796,260,100,105,0,0,10
1769641183797,250,98,103,0,0,11
1769641183798,249,93,99,0,0,11
1769641183800,245,91,95,0,0,11
1769641183801,237,90,93,0,0,11
1769641183803,235,89,92,0,0,9
1769641183804,229,86,90,0,0,10
1769641183806,222,83,87,0,0,10
1769641183807,221,81,82,0,0,9
1769641183808,218,79,79,0,0,10
1769641183810,215,78,77,0,0,9
1769641183811,213,75,76,0,0,10
1769641183813,211,73,74,0,0,9
1769641183814,202,72,70,0,0,10
1769641183816,200,71,68,0,0,8
1769641183817,191,69,60,0,0,10
1769641183818,188,63,57,0,0,9
1769641183820,185,61,56,0,0,9
1769641183821,183,61,56,0,0,8
1769641183823,175,57,55,0,0,11
1769641183824,171,57,53,0,0,9
1769641183825,167,51,51,0,0,10
1769641183827,163,51,47,0,0,9
1769641183828,160,51,46,0,0,10
1769641183830,159,46,43,0,0,8
1769641183831,155,44,43,0,0,8
1769641183833,152,44,41,0,0,9
1769641183834,151,43,37,0,0,8
1769641183835,147,42,37,0,0,8
1769641183837,147,40,37,0,0,9
1769641183838,141,39,30,0,0,8
1769641183840,139,37,28,0,0,9
1769641183841,133,33,25,0,0,9
1769641183843,125,30,24,0,0,9
1769641183844,125,27,23,0,0,9
1769641183845,121,26,20,0,0,10
1769641183847,119,23,17,0,0,8
1769641183848,119,23,18,0,0,10
1769641183850,115,20,12,0,0,9
1769641183851,117,18,12,0,0,9
1769641183853,115,16,9,0,0,7
1769641183854,109,9,7,0,0,9
1769641183855,103,9,2,0,0,9
1769641183857,102,7,0,0,0,9
1769641183858,95,3,0,0,0,9
1769641183860,95,0,0,0,0,8
1769641183861,91,0,0,0,0,8
1769641183862,88,0,0,0,0,10
1769641183864,87,0,0,0,0,9
1769641183865,85,0,0,0,0,9
1769641183867,77,0,0,0,0,10
1769641183868,72,0,0,0,0,9
1769641183870,63,0,0,0,0,9
1769641183871,58,0,0,0,0,10
1769641183872,54,0,0,0,0,9
1769641183874,47,0,0,0,0,9
1769641183875,46,0,0,0,0,9
1769641183877,44,0,0,0,0,10
1769641183878,40,0,0,0,0,10
1769641183880,31,0,0,0,0,9
1769641183881,26,0,0,0,0,10
1769641183882,19,0,0,0,0,10
1769641183884,10,0,0,0,0,9
1769641183885,4,0,0,0,0,10
1769641183887,3,0,0,0,0,9
1769641183888,0,0,0,0,0,11
1769641183890,0,0,0,0,0,11
1769641183891,0,0,0,0,0,10
1769641183892,0,0,0,0,0,10
1769641183894,0,0,0,0,0,10
1769641183895,0,0,0,0,0,11
1769641183897,0,0,0,0,0,9
1769641183898,0,0,0,0,0,10
1769641183900,0,0,0,0,0,11
1769641183901,0,0,0,0,0,10
1769641183902,0,0,0,0,0,11
1769641183904,0,0,0,0,0,9
1769641183905,0,0,0,0,0,10
1769641183907,0,0,0,0,0,11
1769641183908,0,0,0,0,0,13
1769641183910,0,0,0,0,0,11
1769641183911,0,0,0,0,0,11
1769641183912,0,0,0,0,0,11
1769641183914,0,0,0,0,0,11
1769641183915,0,0,0,0,0,9
1769641183917,0,0,0,0,0,10
1769641183918,0,0,0,0,0,11
1769641183919,0,0,0,0,0,10
1769641183921,0,0,0,0,0,9
1769641183922,0,0,0,0,0,10
1769641183924,0,0,0,0,0,9
1769641183925,0,0,0,0,0,9
1769641183927,0,0,0,0,0,9
1769641183928,0,0,0,0,0,8
1769641183929,0,0,0,0,0,9
1769641183931,0,0,0,0,0,7
1769641183932,0,0,0,0,0,8
1769641183934,0,0,0,0,0,7
1769641183935,0,0,0,0,0,9
1769641183937,0,0,0,0,0,9
1769641183938,0,0,0,0,0,8
1769641183939,0,0,0,0,0,8
1769641183941,0,0,0,0,0,8
1769641183942,0,0,0,0,0,8
1769641183944,0,0,0,0,0,9
1769641183945,0,0,0,0,0,9
1769641183947,0,0,0,0,0,7
1769641183948,0,0,0,0,0,9
1769641183949,0,0,0,0,0,9
1769641183951,0,0,0,0,0,9
1769641183952,0,0,0,0,0,9
1769641183954,0,0,0,0,0,8
1769641183955,0,0,0,0,0,9
1769641183957,0,0,0,0,0,9
1769641183958,0,0,0,0,0,9
1769641183959,0,0,0,0,0,9
1769641183961,0,0,0,0,0,8
1769641183962,0,0,0,0,0,9
1769641183964,0,0,0,0,0,7
1769641183965,0,0,0,0,0,8
1769641183967,0,0,0,0,0,10
1769641183968,0,0,0,0,0,9
1769641183969,0,0,0,0,0,9
1769641183971,0,0,0,0,0,9
1769641183972,0,0,0,0,0,9
1769641183974,0,0,0,0,0,8
1769641183975,0,0,0,0,0,9
1769641183977,0,0,0,0,0,9
1769641183978,0,0,0,0,0,8
1769641183979,0,0,0,0,0,11
1769641183981,0,0,0,0,0,8
1769641183982,0,0,0,0,0,9
1769641183984,0,0,0,0,0,9
1769641183985,0,0,0,0,0,9
1769641183987,0,0,0,0,0,9
1769641183988,0,0,0,0,0,9
1769641183989,0,0,0,0,0,10
1769641183991,0,0,0,0,0,10
1769641183992,0,0,0,0,0,10
1769641183994,0,0,0,0,0,11
1769641183995,0,0,0,0,0,10
1769641183997,0,0,0,0,0,9
1769641183998,0,0,0,0,0,10
1769641183999,0,0,0,0,0,10
1769641183001,0,0,0,0,0,10
1769641183002,0,0,0,0,0,9
1769641183004,0,0,0,0,0,11
1769641183005,0,0,0,0,0,9
1769641183007,0,0,0,0,0,10
1769641183008,0,0,0,0,0,9
1769641183009,0,0,0,0,0,8
1769641183011,0,0,0,0,0,9
1769641183012,0,0,0,0,0,9
1769641183014,0,0,0,0,0,10
1769641183015,0,0,0,0,0,8
1769641183017,0,0,0,0,0,10
1769641183018,0,0,0,0,0,11
1769641183020,0,0,0,0,0,9
1769641183021,0,0,0,0,0,9
1769641183023,0,0,0,0,0,9
1769641183024,0,0,0,0,0,9
1769641183025,0,0,0,0,0,10
1769641183027,0,0,0,0,0,9
1769641183028,0,0,0,0,0,10
1769641183030,0,0,0,0,0,9
1769641183031,0,0,0,0,0,8
1769641183033,0,0,0,0,0,9
1769641183034,0,0,0,0,0,10
1769641183036,0,0,0,0,0,10
1769641183037,0,0,0,0,0,9
1769641183038,0,0,0,0,0,9
1769641183040,0,0,0,0,0,9
1769641183041,0,0,0,0,0,9
1769641183043,0,0,0,0,0,10
1769641183044,0,0,0,0,0,9
1769641183046,0,0,0,0,0,9
1769641183047,0,0,0,0,0,10
1769641183048,0,0,0,0,0,10
1769641183050,0,0,0,0,0,11
1769641183051,0,0,0,0,0,10
1769641183053,0,0,0,0,0,9
1769641183054,0,0,0,0,0,10
1769641183056,0,0,0,0,0,9
1769641183057,0,0,0,0,0,10
1769641183059,0,0,0,0,0,10
1769641183060,0,0,0,0,0,9
1769641183061,0,0,0,0,0,10
1769641183063,0,0,0,0,0,10
1769641183064,0,0,0,0,0,11
1769641183066,0,0,0,0,0,10
1769641183067,0,0,0,0,0,11
1769641183069,0,0,0,0,0,10
1769641183070,0,0,0,0,0,11
1769641183072,0,0,0,0,0,11
1769641183073,0,0,0,0,0,11
1769641183074,0,0,0,0,0,10
1769641183076,0,0,0,0,0,11
1769641183077,0,0,0,0,0,11
1769641183079,0,0,0,0,0,10
1769641183080,0,0,0,0,0,10
1769641183082,0,0,0,0,0,10
1769641183083,0,0,0,0,0,10
1769641183084,0,0,0,0,0,11
1769641183086,0,0,0,0,0,11
1769641183087,0,0,0,0,0,11
1769641183089,0,0,0,0,0,10
1769641183090,0,0,0,0,0,11
1769641183092,0,0,0,0,0,11
1769641183093,0,0,0,0,0,10
1769641183095,0,0,0,0,0,11
1769641183096,0,0,0,0,0,11
1769641183097,0,0,0,0,0,12
1769641183099,0,0,0,0,0,11
1769641183100,0,0,0,0,0,11
1769641183102,0,0,0,0,0,11
1769641183103,0,0,0,0,0,10
1769641183105,0,0,0,0,0,10
1769641183106,0,0,0,0,0,11
1769641183107,0,0,0,0,0,11
1769641183109,0,0,0,0,0,11
1769641183110,0,0,0,0,0,12
1769641183112,0,0,0,0,0,13
1769641183113,0,0,0,0,0,11
1769641183115,0,0,0,0,0,12
1769641183116,0,0,0,0,0,11
1769641183118,0,0,0,0,0,10
1769641183119,0,0,0,0,0,11
1769641183120,0,0,0,0,0,11
1769641183122,0,0,0,0,0,11
1769641183123,0,0,0,0,0,10
1769641183125,0,0,0,0,0,11
1769641183126,0,0,0,0,0,11
1769641183128,0,0,0,0,0,10
1769641183129,0,0,0,0,0,10
1769641183131,0,0,0,0,0,9
1769641183132,0,0,0,0,0,9
1769641183133,0,0,0,0,0,10
1769641183135,0,0,0,0,0,9
1769641183136,0,0,0,0,0,9
1769641183138,0,0,0,0,0,10
1769641183139,0,0,0,0,0,10
1769641183141,0,0,0,0,0,10
