sample_index,recorded_at_iso,d1_epoch_ms,d1_fsr1,d1_fsr2,d1_fsr3,d1_fsr4,d1_fsr5,d1_fsr6,d2_epoch_ms,d2_fsr1,d2_fsr2,d2_fsr3,d2_fsr4,d2_fsr5,d2_fsr6
1,2026-04-02T19:05:03Z,1775156703149,0,0,0,0,0,0,1775156702135,0,0,0,0,0,0
2,2026-04-02T19:05:03Z,1775156703152,0,0,0,0,0,0,1775156702138,0,0,0,0,0,0
3,2026-04-02T19:05:03Z,1775156703154,0,0,0,0,0,0,1775156702141,0,0,0,0,0,0
4,2026-04-02T19:05:03Z,1775156703154,0,0,0,0,0,0,1775156702141,0,0,0,0,0,0
5,2026-04-02T19:05:03Z,1775156703157,0,0,0,0,0,0,1775156702144,0,0,0,0,0,0
6,2026-04-02T19:05:03Z,1775156703157,0,0,0,0,0,0,1775156702144,0,0,0,0,0,0
7,2026-04-02T19:05:03Z,1775156703157,0,0,0,0,0,0,1775156702144,0,0,0,0,0,0
8,2026-04-02T19:05:03Z,1775156703163,0,0,0,0,0,0,1775156702150,0,0,0,0,0,0
9,2026-04-02T19:05:03Z,1775156703166,0,0,0,0,0,0,1775156702153,0,0,0,0,0,0
10,2026-04-02T19:05:03Z,1775156703166,0,0,0,0,0,0,1775156702153,0,0,0,0,0,0
11,2026-04-02T19:05:03Z,1775156703169,0,0,0,0,0,0,1775156702157,0,0,0,0,0,0
12,2026-04-02T19:05:03Z,1775156703172,0,0,0,0,0,0,1775156702159,0,0,0,0,0,0
13,2026-04-02T19:05:03Z,1775156703175,0,0,0,0,0,0,1775156702162,0,0,0,0,0,0
14,2026-04-02T19:05:03Z,1775156703175,0,0,0,0,0,0,1775156702162,0,0,0,0,0,0
15,2026-04-02T19:05:03Z,1775156703179,0,0,0,0,0,0,1775156702162,0,0,0,0,0,0
16,2026-04-02T19:05:03Z,1775156703181,0,0,0,0,0,0,1775156702166,0,0,0,0,0,0
17,2026-04-02T19:05:03Z,1775156703181,0,0,0,0,0,0,1775156702169,0,0,0,0,0,0
18,2026-04-02T19:05:03Z,1775156703185,0,0,0,0,0,0,1775156702172,0,0,0,0,0,0
19,2026-04-02T19:05:03Z,1775156703187,0,0,0,0,0,0,1775156702172,0,0,0,0,0,0
20,2026-04-02T19:05:03Z,1775156703187,0,0,0,0,0,0,1775156702175,0,0,0,0,0,0
21,2026-04-02T19:05:03Z,1775156703191,0,0,0,0,0,0,1775156702178,0,0,0,0,0,0
22,2026-04-02T19:05:03Z,1775156703193,0,0,0,0,0,0,1775156702181,0,0,0,0,0,0
23,2026-04-02T19:05:03Z,1775156703193,0,0,0,0,0,0,1775156702181,0,0,0,0,0,0
24,2026-04-02T19:05:03Z,1775156703196,0,0,0,0,0,0,1775156702184,0,0,0,0,0,0
25,2026-04-02T19:05:03Z,1775156703199,0,0,0,0,0,0,1775156702187,0,0,0,0,0,0
